timestamp,pair,action,price,quantity,pnl,pnl_pct
2025-04-13 15:49:21,BTCUSDT,SELL,83688.77,0.000999,0.018751,0.0224
2025-04-13 15:49:30,XRPUSDT,SELL,2.1421,9.99,0.004995,0.0233
2025-04-13 17:06:49,SOLUSDT,SELL,130.0,0.0999,0.0,0.0
2025-04-13 17:22:07,ETHUSDT,SELL,1621.28,0.00999,0.228072,1.4283
2025-04-14 20:54:33,BTCUSDT,BUY,84874.01,0.00033,0.0,0.333
2025-04-14 20:54:46,XRPUSDT,BUY,2.1512,3.0,0.0,0.333
2025-04-14 21:00:02,ETHUSDT,BUY,1635.19,0.0033,0.0,0.333
2025-04-14 21:19:15,XRPUSDT,SELL,2.1419,3.987,0.0,0.0
2025-04-14 21:32:13,ETHUSDT,SELL,1630.36,0.003387,0.0,0.0
2025-04-15 02:11:40,BTCUSDT,SELL,85151.14,0.000339,0.196818,0.6872
2025-04-15 03:14:49,SOLUSDT,BUY,129.51,0.1,0.0,0.0
2025-04-15 07:02:00,BTCUSDT,BUY,85449.91,0.00033,0.0,0.333
2025-04-15 10:51:05,BTCUSDT,BUY,85603.78,0.00033,0.0,0.333
2025-04-15 13:24:33,TEST/USDT,TEST,1000.0,0.01,0.5,5.0
2025-04-15 13:24:33,BTCUSDT,BUY,42350.75,0.001,0.0,0.0
